step	volume	average_movement_acceptance	average_volume_acceptance
62700	188.340451	0.253837	0.060000
62800	188.470193	0.260930	0.030000
62900	188.503703	0.254070	0.040000
63000	188.158989	0.244535	0.050000
63100	187.953548	0.239709	0.040000
63200	188.091122	0.244012	0.010000
63300	188.245460	0.256860	0.080000
63400	188.474546	0.261570	0.090000
63500	188.928533	0.255000	0.080000
63600	188.779924	0.263488	0.060000
63700	188.430016	0.267267	0.080000
63800	188.293073	0.243605	0.050000
63900	188.728954	0.232965	0.130000
64000	188.756346	0.248837	0.060000
64100	188.912347	0.241802	0.040000
64200	189.685399	0.247616	0.060000
64300	189.719108	0.249360	0.060000
64400	189.811175	0.252791	0.030000
64500	189.301145	0.248663	0.070000
64600	189.406357	0.260349	0.020000
64700	189.294515	0.258779	0.090000
64800	189.155125	0.260349	0.050000
64900	189.040528	0.243372	0.050000
65000	189.130442	0.253140	0.060000
65100	188.996329	0.252849	0.060000
65200	188.498418	0.252326	0.030000
65300	188.294352	0.247326	0.050000
65400	188.283418	0.255407	0.050000
65500	188.559348	0.250930	0.070000
65600	188.677398	0.266221	0.030000
65700	188.722393	0.255174	0.070000
65800	188.756106	0.245233	0.030000
65900	188.887214	0.248895	0.020000
66000	189.059851	0.259942	0.050000
66100	188.999730	0.250930	0.060000
66200	189.027134	0.248837	0.020000
66300	188.943548	0.244942	0.040000
66400	188.954554	0.253140	0.050000
66500	189.420670	0.262151	0.010000
66600	189.823971	0.261919	0.060000
66700	189.798038	0.265988	0.070000
66800	189.906065	0.268198	0.080000
66900	190.644641	0.267326	0.090000
67000	190.680382	0.283837	0.030000
67100	190.683679	0.257093	0.080000
67200	190.449307	0.251105	0.030000
67300	190.484950	0.245581	0.060000
67400	190.810897	0.250698	0.030000
67500	190.876353	0.255465	0.030000
67600	191.072702	0.262326	0.050000
67700	190.423956	0.255058	0.090000
67800	190.942325	0.262500	0.080000
67900	191.181020	0.267616	0.100000
68000	190.800375	0.272849	0.080000
68100	190.774098	0.288198	0.010000
68200	190.788820	0.266221	0.040000
68300	191.001822	0.270814	0.060000
68400	191.342750	0.264709	0.070000
68500	191.288545	0.255581	0.040000
68600	190.661681	0.253605	0.090000
68700	190.997394	0.259302	0.050000
68800	191.207724	0.270174	0.030000
68900	190.821280	0.262674	0.080000
69000	190.478707	0.265058	0.040000
69100	190.301363	0.260640	0.040000
69200	190.227411	0.256919	0.090000
69300	190.214605	0.263372	0.090000
69400	190.488081	0.267035	0.060000
69500	190.109247	0.265814	0.080000
69600	190.025631	0.252500	0.060000
69700	190.295634	0.248314	0.070000
69800	190.212161	0.255930	0.020000
69900	190.055043	0.255349	0.050000
70000	190.217478	0.253547	0.050000
70100	190.492963	0.238023	0.030000
70200	190.546398	0.236628	0.080000
70300	190.756034	0.242849	0.050000
70400	190.719788	0.258430	0.060000
70500	190.402889	0.269012	0.090000
70600	190.880882	0.268140	0.070000
70700	191.310586	0.258081	0.100000
70800	190.986432	0.263081	0.070000
70900	191.021263	0.268837	0.120000
71000	191.710824	0.284477	0.070000
71100	191.864550	0.260640	0.030000
71200	192.051099	0.272907	0.030000
71300	192.103524	0.276686	0.050000
71400	192.379267	0.267151	0.050000
71500	192.095507	0.280872	0.070000
71600	192.394420	0.282558	0.040000
71700	192.210405	0.286628	0.070000
71800	192.057198	0.282267	0.060000
71900	192.193373	0.274128	0.050000
72000	192.411880	0.284942	0.080000
72100	192.600758	0.280407	0.050000
72200	192.545785	0.288372	0.040000
72300	192.289953	0.280116	0.100000
72400	192.142549	0.275291	0.070000
72500	192.171902	0.267326	0.010000
72600	192.345130	0.270814	0.090000
72700	192.227008	0.269942	0.070000
72800	191.831707	0.288081	0.040000
72900	191.482658	0.283663	0.040000
73000	191.286490	0.264826	0.050000
73100	191.275081	0.257267	0.040000
73200	191.151032	0.259709	0.040000
73300	191.411830	0.276221	0.030000
73400	191.411762	0.276163	0.050000
73500	191.879493	0.258488	0.050000
73600	192.041302	0.268372	0.060000
73700	191.621174	0.275000	0.080000
73800	191.472283	0.274884	0.080000
73900	191.711234	0.268779	0.030000
74000	191.975517	0.272151	0.050000
74100	192.398901	0.274593	0.040000
74200	191.962587	0.269012	0.090000
74300	191.724097	0.275000	0.040000
74400	191.342966	0.255756	0.090000
74500	190.773756	0.262616	0.050000
74600	190.411492	0.271453	0.090000
74700	190.478626	0.258372	0.030000
74800	190.991079	0.252384	0.060000
74900	191.034872	0.280000	0.050000
75000	191.167622	0.272849	0.050000
75100	191.367586	0.262267	0.050000
75200	191.246863	0.282500	0.070000
75300	190.821546	0.268314	0.060000
75400	190.596041	0.265233	0.080000
75500	190.963467	0.260407	0.040000
75600	191.208999	0.255000	0.050000
75700	191.401133	0.256221	0.040000
75800	191.379926	0.260058	0.030000
75900	191.209472	0.267616	0.020000
76000	191.335962	0.267326	0.050000
76100	191.434777	0.263430	0.060000
76200	192.161226	0.265116	0.060000
76300	192.391978	0.276628	0.030000
76400	192.531190	0.274070	0.040000
76500	191.792902	0.274535	0.060000
76600	191.623320	0.269709	0.060000
76700	191.439141	0.279884	0.060000
76800	191.822903	0.279884	0.050000
76900	192.007989	0.276047	0.100000
77000	191.081472	0.272965	0.050000
